customer_id,customer_name,segment
CG-12520,claire gute,consumer
DV-13045,darrin van huff,corporate
SO-20335,sean o'donnell,consumer
BH-11710,brosina hoffman,consumer
AA-10480,andrew allen,consumer
IM-15070,irene maddox,consumer
HP-14815,harold pawlan,home office
AG-10270,alejandro grove,consumer
ZD-21925,zuschuss donatelli,consumer
KB-16585,ken black,corporate
EH-13945,eric hoffmann,consumer
TB-21520,tracy blumstein,consumer
MA-17560,matt abelman,home office
SN-20710,steve nguyen,home office
LC-16930,linda cazamias,corporate
ON-18715,odella nelson,corporate
LH-16900,lena hernandez,consumer
DP-13000,darren powers,consumer
JM-15265,janet molinari,corporate
TB-21055,ted butterfield,consumer
KM-16720,kunst miller,consumer
BS-11590,brendan sweed,corporate
HM-14980,henry macallister,consumer
JE-15745,joel eaton,consumer
KB-16600,ken brennan,corporate
SC-20770,stewart carmichael,corporate
JC-16105,julie creighton,corporate
CS-12400,christopher schild,home office
PO-18865,patrick o'donnell,consumer
PG-18895,paul gonzalez,consumer
GM-14455,gary mitchum,home office
JS-15685,jim sink,corporate
KB-16315,karl braun,consumer
RB-19705,roger barcio,home office
PN-18775,parhena norris,home office
KD-16345,katherine ducich,consumer
ER-13855,elpida rittenbach,corporate
RB-19465,rick bensley,home office
GZ-14470,gary zandusky,consumer
LC-16870,lena cacioppo,consumer
JM-15250,janet martin,consumer
PA-19060,pete armstrong,home office
CV-12805,cynthia voltz,corporate
RC-19960,ryan crowe,consumer
GG-14650,greg guthrie,corporate
SC-20725,steven cartwright,consumer
LS-16975,lindsay shagiari,home office
DW-13585,dorothy wardle,corporate
LC-16885,lena creighton,consumer
SH-19975,sally hughsby,corporate
JE-16165,justin ellison,corporate
TW-21025,tamara willingham,home office
SP-20650,stephanie phelps,corporate
NK-18490,neil knudson,home office
DB-13060,dave brooks,consumer
NP-18670,nora paige,consumer
TT-21070,ted trevino,consumer
EM-13960,eric murdock,consumer
RD-19900,ruben dartt,consumer
MJ-17740,max jones,consumer
BM-11140,becky martin,consumer
CS-12130,chad sievert,consumer
JB-15400,jennifer braxton,corporate
DK-13150,david kendrick,corporate
RM-19675,robert marley,home office
SK-19990,sally knutson,consumer
FM-14290,frank merwin,home office
AM-10360,alice mccarthy,corporate
MP-17470,mark packer,home office
MZ-17515,mary zewe,corporate
VM-21685,valerie mitchum,home office
MB-17305,maria bertelson,consumer
BS-11755,bruce stewart,consumer
LC-17140,logan currie,consumer
LE-16810,laurel elliston,consumer
JH-15985,joseph holt,consumer
MS-17980,michael stewart,corporate
VW-21775,victoria wilson,corporate
JH-15910,jonathan howell,consumer
JB-15925,joni blumstein,consumer
DS-13180,david smith,corporate
VD-21670,valerie dominguez,consumer
EA-14035,erin ashbrook,corporate
DB-13120,david bremer,corporate
KL-16645,ken lonsdale,consumer
DW-13480,dianna wilson,home office
