,Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Annees,mois,trimestre,Marge_relative,Taux_profit_estime,Quantity,Ratio_Qte_Sales,délais livraison
0,1,CA-2017-152156,2017-11-08,2017-11-11,second class,CG-12520,claire gute,consumer,united states,henderson,kentucky,42420,south,FUR-BO-10001798,furniture,bookcases,bush somerset collection bookcase,261.96,2017,11,4,0.2072538860103627,0.00014422778768597027,1,0.003817376698732631,3 days
2,3,CA-2017-138688,2017-06-12,2017-06-16,second class,DV-13045,darrin van huff,corporate,united states,los angeles,california,90036,west,OFF-LA-10000240,office supplies,labels,self-adhesive address labels for typewriters by universal,14.62,2017,6,2,0.09523809523809523,8.049359657844272e-06,1,0.06839945280437756,4 days
4,5,US-2016-108966,2016-10-11,2016-10-18,standard class,SO-20335,sean o'donnell,consumer,united states,fort lauderdale,florida,33311,south,OFF-ST-10000760,office supplies,storage,eldon fold 'n roll cart system,22.368,2016,10,4,0.07407407407407408,1.2315189933424121e-05,1,0.04470672389127325,7 days
6,7,CA-2015-115812,2015-06-09,2015-06-14,standard class,BH-11710,brosina hoffman,consumer,united states,los angeles,california,90032,west,OFF-AR-10002833,office supplies,art,newell 322,7.28,2015,6,2,0.2380952380952381,4.00816267504147e-06,1,0.13736263736263735,5 days
8,9,CA-2015-115812,2015-06-09,2015-06-14,standard class,BH-11710,brosina hoffman,consumer,united states,los angeles,california,90032,west,OFF-BI-10003910,office supplies,binders,dxl angle-view binders with locking rings by samsill,18.504,2015,6,2,0.08602150537634409,1.0187780513594419e-05,1,0.05404236921746649,5 days
9,10,CA-2015-115812,2015-06-09,2015-06-14,standard class,BH-11710,brosina hoffman,consumer,united states,los angeles,california,90032,west,OFF-AP-10002892,office supplies,appliances,belkin f5c206vtel 6 outlet surge,114.9,2015,6,2,0.24752475247524752,6.326069936294848e-05,1,0.008703220191470844,5 days
12,13,CA-2018-114412,2018-04-15,2018-04-20,standard class,AA-10480,andrew allen,consumer,united states,concord,north carolina,28027,south,OFF-PA-10002365,office supplies,paper,xerox 1967,15.552,2018,4,2,0.17391304347826086,8.562492571736942e-06,1,0.06430041152263374,5 days
13,14,CA-2017-161389,2017-12-05,2017-12-10,standard class,IM-15070,irene maddox,consumer,united states,seattle,washington,98103,west,OFF-BI-10003656,office supplies,binders,fellowes pb200 plastic comb binding machine,407.976,2017,12,4,0.13186813186813187,0.0002246200790539449,1,0.0024511245759554485,5 days
15,16,US-2016-118983,2016-11-22,2016-11-26,standard class,HP-14815,harold pawlan,home office,united states,fort worth,texas,76106,central,OFF-BI-10000756,office supplies,binders,storex duratech recycled plastic frosted binders,2.544,2016,11,4,0.02702702702702703,1.400654649080426e-06,1,0.3930817610062893,4 days
17,18,CA-2015-167164,2015-05-13,2015-05-15,second class,AG-10270,alejandro grove,consumer,united states,west jordan,utah,84084,west,OFF-ST-10000107,office supplies,storage,fellowes super stor/drawer,55.5,2015,5,2,0.11627906976744186,3.055673467923099e-05,1,0.018018018018018018,2 days
18,19,CA-2015-143336,2015-08-27,2015-09-01,second class,ZD-21925,zuschuss donatelli,consumer,united states,san francisco,california,94109,west,OFF-AR-10003056,office supplies,art,newell 341,8.56,2015,8,3,0.08849557522123894,4.712894573949861e-06,1,0.11682242990654206,5 days
19,20,CA-2015-143336,2015-08-27,2015-09-01,second class,ZD-21925,zuschuss donatelli,consumer,united states,san francisco,california,94109,west,TEC-PH-10001949,technology,phones,cisco spa 501g ip phone,213.48,2015,8,3,1.0,0.00011753606701481498,1,0.00468427955780401,5 days
21,22,CA-2017-137330,2017-12-09,2017-12-13,standard class,KB-16585,ken black,corporate,united states,fremont,nebraska,68025,central,OFF-AR-10000246,office supplies,art,newell 318,19.46,2017,12,4,0.3153153153153153,1.0714127150591623e-05,1,0.051387461459403906,4 days
25,26,CA-2017-121755,2017-01-16,2017-01-20,second class,EH-13945,eric hoffmann,consumer,united states,los angeles,california,90049,west,OFF-BI-10001634,office supplies,binders,wilson jones active use binders,11.648,2017,1,1,0.10126582278481013,6.413060280066353e-06,1,0.08585164835164835,4 days
26,27,CA-2017-121755,2017-01-16,2017-01-20,second class,EH-13945,eric hoffmann,consumer,united states,los angeles,california,90049,west,TEC-AC-10003027,technology,accessories,imation 8gb mini traveldrive usb 2.0 flash drive,90.57,2017,1,1,0.25862068965517243,4.9865287565728836e-05,1,0.011041183614883517,4 days
28,29,US-2016-150630,2016-09-17,2016-09-21,standard class,TB-21520,tracy blumstein,consumer,united states,philadelphia,pennsylvania,19140,east,OFF-BI-10000474,office supplies,binders,avery recycled flexi-view covers for binding systems,9.618,2016,9,3,0.04878048780487805,5.295399534141328e-06,1,0.10397171969224371,4 days
30,31,US-2016-150630,2016-09-17,2016-09-21,standard class,TB-21520,tracy blumstein,consumer,united states,philadelphia,pennsylvania,19140,east,OFF-EN-10001509,office supplies,envelopes,poly string tie envelopes,3.264,2016,9,3,0.04938271604938271,1.7970663422163953e-06,1,0.30637254901960786,4 days
33,34,US-2016-150630,2016-09-17,2016-09-21,standard class,TB-21520,tracy blumstein,consumer,united states,philadelphia,pennsylvania,19140,east,OFF-AR-10001683,office supplies,art,lumber crayons,15.76,2016,9,3,0.09195402298850576,8.677011505309556e-06,1,0.06345177664974619,4 days
34,35,CA-2018-107727,2018-10-19,2018-10-23,second class,MA-17560,matt abelman,home office,united states,houston,texas,77095,central,OFF-PA-10000249,office supplies,paper,easy-staple paper,29.472,2018,10,4,0.15000000000000002,1.622645197236569e-05,1,0.03393051031487514,4 days
40,41,CA-2016-117415,2016-12-27,2016-12-31,standard class,SN-20710,steve nguyen,home office,united states,houston,texas,77041,central,TEC-PH-10000486,technology,phones,plantronics hl10 handset lifter,371.168,2016,12,4,0.16666666666666669,0.0002043546323859605,1,0.0026941977756703163,4 days
41,42,CA-2018-120999,2018-09-10,2018-09-15,standard class,LC-16930,linda cazamias,corporate,united states,naperville,illinois,60540,central,TEC-PH-10004093,technology,phones,panasonic kx-ts550,147.168,2018,9,3,0.17391304347826086,8.10265500769922e-05,1,0.006794955425092411,5 days
45,46,CA-2017-118255,2017-03-11,2017-03-13,first class,ON-18715,odella nelson,corporate,united states,eagan,minnesota,55122,central,OFF-BI-10003291,office supplies,binders,wilson jones leather-like binders with dubllock round rings,17.46,2017,3,1,0.07326007326007326,9.612983558547264e-06,1,0.0572737686139748,2 days
47,48,CA-2017-169194,2017-06-20,2017-06-25,standard class,LH-16900,lena hernandez,consumer,united states,dover,delaware,19901,east,TEC-AC-10002167,technology,accessories,imation 8gb micro traveldrive usb 2.0 flash drive,45.0,2017,6,2,0.12605042016806722,2.47757308209981e-05,1,0.022222222222222223,5 days
50,51,CA-2016-115742,2016-04-18,2016-04-22,standard class,DP-13000,darren powers,consumer,united states,new albany,indiana,47150,central,OFF-LA-10002762,office supplies,labels,avery 485,75.18,2016,4,2,0.11764705882352942,4.13919876249475e-05,1,0.013301409949454642,4 days
51,52,CA-2016-115742,2016-04-18,2016-04-22,standard class,DP-13000,darren powers,consumer,united states,new albany,indiana,47150,central,FUR-FU-10001706,furniture,furnishings,longer-life soft white bulbs,6.16,2016,4,2,0.05780346820809249,3.391522263496629e-06,1,0.16233766233766234,4 days
53,54,CA-2017-105816,2017-12-11,2017-12-17,standard class,JM-15265,janet molinari,corporate,united states,new york city,new york,10024,east,OFF-FA-10000304,office supplies,fasteners,advantus push pins,15.26,2017,12,4,0.2777777777777778,8.401725607298467e-06,1,0.0655307994757536,6 days
55,56,CA-2017-111682,2017-06-17,2017-06-18,first class,TB-21055,ted butterfield,consumer,united states,troy,new york,12180,east,OFF-ST-10000604,office supplies,storage,home/office personal file carts,208.56,2017,6,2,0.2127659574468085,0.00011482725377838586,1,0.004794783275795934,1 days
56,57,CA-2017-111682,2017-06-17,2017-06-18,first class,TB-21055,ted butterfield,consumer,united states,troy,new york,12180,east,OFF-PA-10001569,office supplies,paper,xerox 232,32.4,2017,6,2,0.26881720430107525,1.7838526191118632e-05,1,0.0308641975308642,1 days
57,58,CA-2017-111682,2017-06-17,2017-06-18,first class,TB-21055,ted butterfield,consumer,united states,troy,new york,12180,east,FUR-CH-10003968,furniture,chairs,novimex turbo task chair,319.41,2017,6,2,0.23809523809523808,0.00017585813736744452,1,0.0031307723615415922,1 days
59,60,CA-2017-111682,2017-06-17,2017-06-18,first class,TB-21055,ted butterfield,consumer,united states,troy,new york,12180,east,TEC-AC-10002167,technology,accessories,imation 8gb micro traveldrive usb 2.0 flash drive,30.0,2017,6,2,0.08403361344537816,1.65171538806654e-05,1,0.03333333333333333,1 days
60,61,CA-2017-111682,2017-06-17,2017-06-18,first class,TB-21055,ted butterfield,consumer,united states,troy,new york,12180,east,OFF-BI-10001460,office supplies,binders,plastic binding combs,48.48,2017,6,2,0.17977528089887637,2.6691720671155286e-05,1,0.020627062706270627,1 days
61,62,CA-2017-111682,2017-06-17,2017-06-18,first class,TB-21055,ted butterfield,consumer,united states,troy,new york,12180,east,OFF-AR-10001868,office supplies,art,prang dustless chalk sticks,1.68,2017,6,2,0.04310344827586207,9.249606173172623e-07,1,0.5952380952380952,1 days
64,65,CA-2016-135545,2016-11-24,2016-11-30,standard class,KM-16720,kunst miller,consumer,united states,los angeles,california,90004,west,OFF-PA-10003892,office supplies,paper,xerox 1943,146.73,2016,11,4,0.19736842105263155,8.078539963033446e-05,1,0.006815238874122539,6 days
65,66,CA-2016-135545,2016-11-24,2016-11-30,standard class,KM-16720,kunst miller,consumer,united states,los angeles,california,90004,west,FUR-FU-10000397,furniture,furnishings,luxo economy swing arm lamp,79.76,2016,11,4,0.23529411764705882,4.3913606450729076e-05,1,0.012537612838515545,6 days
68,69,CA-2015-106376,2015-12-05,2015-12-10,standard class,BS-11590,brendan sweed,corporate,united states,gilbert,arizona,85234,west,TEC-PH-10002726,technology,phones,nettalk duo voip telephone service,167.968,2015,12,4,0.1509433962264151,9.247844343425353e-05,1,0.005953514955229568,5 days
70,71,CA-2017-106075,2017-09-18,2017-09-23,standard class,HM-14980,henry macallister,consumer,united states,new york city,new york,10009,east,OFF-BI-10004654,office supplies,binders,avery binding system hidden tab executive style index sets,4.616,2017,9,3,0.021512492252054077,2.5414394104383827e-06,1,0.21663778162911612,5 days
74,75,US-2016-134026,2016-04-26,2016-05-02,standard class,JE-15745,joel eaton,consumer,united states,memphis,tennessee,38109,south,OFF-ST-10004123,office supplies,storage,safco industrial wire shelving system,72.784,2016,4,2,0.028985507246376812,4.0072817601678355e-05,1,0.013739283358979995,6 days
75,76,US-2018-118038,2018-12-09,2018-12-11,first class,KB-16600,ken brennan,corporate,united states,houston,texas,77041,central,OFF-BI-10004182,office supplies,binders,economy binders,1.248,2018,12,4,0.04687499999999999,6.871136014356807e-07,1,0.8012820512820513,2 days
80,81,CA-2017-127208,2017-06-12,2017-06-15,first class,SC-20770,stewart carmichael,corporate,united states,decatur,alabama,35601,south,OFF-BI-10002309,office supplies,binders,avery heavy-duty ezd  binder with locking rings,16.74,2017,6,2,0.18072289156626503,9.216571865411292e-06,1,0.059737156511350066,3 days
83,84,CA-2016-149734,2016-09-03,2016-09-08,standard class,JC-16105,julie creighton,corporate,united states,durham,north carolina,27707,south,OFF-EN-10000927,office supplies,envelopes,jet-pak recycled peel 'n' seal padded mailers,200.984,2016,9,3,0.36363636363636365,0.00011065612185172183,1,0.004975520439437965,5 days
84,85,US-2018-119662,2018-11-13,2018-11-16,first class,CS-12400,christopher schild,home office,united states,chicago,illinois,60623,central,OFF-ST-10003656,office supplies,storage,safco industrial wire shelving,230.376,2018,11,4,0.16901408450704225,0.00012683852808040573,1,0.00434072993714623,3 days
85,86,CA-2018-140088,2018-05-28,2018-05-30,second class,PO-18865,patrick o'donnell,consumer,united states,columbia,south carolina,29203,south,FUR-CH-10000863,furniture,chairs,novimex swivel fabric task chair,301.96,2018,5,2,0.12658227848101267,0.00016625065952685747,1,0.0033116969134984768,2 days
86,87,CA-2018-155558,2018-10-26,2018-11-02,standard class,PG-18895,paul gonzalez,consumer,united states,rochester,minnesota,55901,central,TEC-AC-10001998,technology,accessories,logitech ls21 speaker system - pc multimedia - 2.1-ch - wired,19.99,2018,10,4,0.09615384615384616,1.1005930202483378e-05,1,0.05002501250625313,7 days
87,88,CA-2018-155558,2018-10-26,2018-11-02,standard class,PG-18895,paul gonzalez,consumer,united states,rochester,minnesota,55901,central,OFF-LA-10000134,office supplies,labels,avery 511,6.16,2018,10,4,0.10869565217391305,3.391522263496629e-06,1,0.16233766233766234,7 days
88,89,CA-2017-159695,2017-04-05,2017-04-10,second class,GM-14455,gary mitchum,home office,united states,houston,texas,77095,central,OFF-ST-10003442,office supplies,storage,eldon portable mobile manager,158.368,2017,4,2,0.1761006289308176,8.71929541924406e-05,1,0.006314406950899172,5 days
89,90,CA-2017-109806,2017-09-17,2017-09-22,standard class,JS-15685,jim sink,corporate,united states,los angeles,california,90036,west,OFF-AR-10004930,office supplies,art,turquoise lead holder with pocket clip,20.1,2017,9,3,0.5357142857142857,1.1066493100045818e-05,1,0.04975124378109452,5 days
90,91,CA-2017-109806,2017-09-17,2017-09-22,standard class,JS-15685,jim sink,corporate,united states,los angeles,california,90036,west,TEC-PH-10004093,technology,phones,panasonic kx-ts550,73.584,2017,9,3,0.08695652173913043,4.05132750384961e-05,1,0.013589910850184822,5 days
91,92,CA-2017-109806,2017-09-17,2017-09-22,standard class,JS-15685,jim sink,corporate,united states,los angeles,california,90036,west,OFF-PA-10000304,office supplies,paper,xerox 1995,6.48,2017,9,3,0.06756756756756757,3.5677052382237267e-06,1,0.15432098765432098,5 days
92,93,CA-2016-149587,2016-01-31,2016-02-05,second class,KB-16315,karl braun,consumer,united states,minneapolis,minnesota,55407,central,OFF-PA-10003177,office supplies,paper,xerox 1999,12.96,2016,1,1,0.13157894736842105,7.135410476447453e-06,1,0.07716049382716049,5 days
94,95,CA-2016-149587,2016-01-31,2016-02-05,second class,KB-16315,karl braun,consumer,united states,minneapolis,minnesota,55407,central,OFF-BI-10002852,office supplies,binders,ibico standard transparent covers,32.96,2016,1,1,0.11976047904191617,1.8146846396891053e-05,1,0.03033980582524272,5 days
95,96,US-2018-109484,2018-11-06,2018-11-12,standard class,RB-19705,roger barcio,home office,united states,portland,oregon,97206,west,OFF-BI-10004738,office supplies,binders,flexible leather- look classic collection ring binder,5.682,2018,11,4,0.04,3.128348944998027e-06,1,0.1759943681802182,6 days
96,97,CA-2018-161018,2018-11-09,2018-11-11,second class,PN-18775,parhena norris,home office,united states,new york city,new york,10009,east,FUR-FU-10000629,furniture,furnishings,9-3/4 diameter round wall clock,96.53,2018,11,4,0.21212121212121213,5.314669547002104e-05,1,0.010359473738734071,2 days
97,98,CA-2018-157833,2018-06-17,2018-06-20,first class,KD-16345,katherine ducich,consumer,united states,san francisco,california,94122,west,OFF-BI-10001721,office supplies,binders,trimflex flexible post binders,51.312,2018,6,2,0.14814814814814814,2.82509399974901e-05,1,0.019488618646710323,3 days
98,99,CA-2017-149223,2017-09-06,2017-09-11,standard class,ER-13855,elpida rittenbach,corporate,united states,saint paul,minnesota,55106,central,OFF-AP-10000358,office supplies,appliances,fellowes basic home/office series surge protectors,77.88,2017,9,3,0.17857142857142855,4.2878531474207375e-05,1,0.012840267077555215,5 days
99,100,CA-2017-158568,2017-08-29,2017-09-02,standard class,RB-19465,rick bensley,home office,united states,chicago,illinois,60610,central,OFF-PA-10003256,office supplies,paper,avery personal creations heavyweight cards,64.624,2017,8,3,0.6222222222222222,3.558015174613736e-05,1,0.015474127259222582,4 days
